,3
ROI,0.04
Realized revenue - Contracted sales revenue - Contracted sales revenue - Food & Groceries,1285032.715
Realized revenue - Contracted sales revenue - Contracted sales revenue - LAND Market,629859.0499
Realized revenue - Contracted sales revenue - Contracted sales revenue - Dominick's,708501.8055
Realized revenue - Contracted sales revenue,2623393.571
Realized revenue - Bonus or penalties - Contracted sales revenue - Food & Groceries,16477.2296
Realized revenue - Bonus or penalties - Contracted sales revenue - LAND Market,4790.8887
Realized revenue - Bonus or penalties - Contracted sales revenue - Dominick's,5634.7448
Realized revenue - Bonus or penalties,26902.8631
Realized revenue,2650296.434
Gross margin - Cost of goods sold - Purchase value - Mono Packaging Materials,107941.2125
Gross margin - Cost of goods sold - Purchase value - Trio PET PLC,
Gross margin - Cost of goods sold - Purchase value - Plantin PET,275756.5159
Gross margin - Cost of goods sold - Purchase value - Miami Oranges,396256.6439
Gross margin - Cost of goods sold - Purchase value - NO8DO Mango,79177.7683
Gross margin - Cost of goods sold - Purchase value - Seitan Vitamins,
Gross margin - Cost of goods sold - Purchase value - AIL Vitamins,1802.7427
Gross margin - Cost of goods sold - Purchase value,860934.8833
Gross margin - Cost of goods sold - Production costs - Bottling lines fixed costs,49000
Gross margin - Cost of goods sold - Production costs - Permanent employees,200000
Gross margin - Cost of goods sold - Production costs - Flexible manpower,30939.2771
Gross margin - Cost of goods sold - Production costs - Mixer fixed costs,31250
Gross margin - Cost of goods sold - Production costs - Mixer variable costs,142695.5696
Gross margin - Cost of goods sold - Production costs,453884.8467
Gross margin - Cost of goods sold,1314819.73
Gross margin,1335476.704
Operating profit - Indirect cost - Overhead costs - Energy,146876.3487
Operating profit - Indirect cost - Overhead costs - Water,27749.3528
Operating profit - Indirect cost - Overhead costs - Other,146451.8071
Operating profit - Indirect cost - Overhead costs,321077.5086
Operating profit - Indirect cost - Stock costs - Interest components,9440.5296
Operating profit - Indirect cost - Stock costs - Interest products,12380.2951
Operating profit - Indirect cost - Stock costs - Interest on stock value,21820.8246
Operating profit - Indirect cost - Stock costs - Pallet locations raw materials warehouse,86600
Operating profit - Indirect cost - Stock costs - Overflow raw materials warehouse,34657.0832
Operating profit - Indirect cost - Stock costs - Outsourcing tank yard,21780.0045
Operating profit - Indirect cost - Stock costs - Pallet locations finished goods warehouse,135000
Operating profit - Indirect cost - Stock costs - Overflow finished goods warehouse,3170.3057
Operating profit - Indirect cost - Stock costs - Space,281207.3934
Operating profit - Indirect cost - Stock costs - Costs of scrap,24421.7512
Operating profit - Indirect cost - Stock costs - Risk,24421.7512
Operating profit - Indirect cost - Stock costs,327449.9692
Operating profit - Indirect cost - Handling costs - Inbound permanent employees,80000
Operating profit - Indirect cost - Handling costs - Inbound flexible manpower,12736.8391
Operating profit - Indirect cost - Handling costs - Raw materials inspection,1525.5345
Operating profit - Indirect cost - Handling costs - Inbound handling,94262.3736
Operating profit - Indirect cost - Handling costs - Outbound permanent employees,100000
Operating profit - Indirect cost - Handling costs - Outbound flexible manpower,1336.405
Operating profit - Indirect cost - Handling costs - Outbound handling,101336.405
Operating profit - Indirect cost - Handling costs,195598.7786
Operating profit - Indirect cost - Administration costs - Inbound order lines,325.2176
Operating profit - Indirect cost - Administration costs - Inbound orders,1626.0879
Operating profit - Indirect cost - Administration costs - Contracted suppliers,100000
Operating profit - Indirect cost - Administration costs - Inbound,101951.3055
Operating profit - Indirect cost - Administration costs - Outbound order lines,926.5075
Operating profit - Indirect cost - Administration costs - Outbound orders,7166.5365
Operating profit - Indirect cost - Administration costs - Outbound,8093.044
Operating profit - Indirect cost - Administration costs,110044.3495
Operating profit - Indirect cost - Distribution costs,193767.2774
Operating profit - Indirect cost - Project costs - SMED,10000
Operating profit - Indirect cost - Project costs,10000
Operating profit - Indirect cost - Interest,22127.4184
Operating profit - Indirect cost,1180065.302
Operating profit,155411.4023
Investment - Investment - Fixed,2500000
Investment - Investment - Stock,290944.3284
Investment - Investment - Machines,802500
Investment - Investment - Payment terms,295032.2456
Investment,3888476.574
